MISSION ELAPSED TIME (mins),Antenna,Budget
0,wpsa,10000
8.236480545,none,0
9.236480545,ds54,10000
10.23648055,ds54,10000
11.23648055,ds54,10000
12.23648055,ds54,10000
13.23648055,ds54,10000
14.23648055,ds54,10000
15.23648055,ds54,10000
16.23648055,ds54,10000
17.23648055,ds54,10000
18.23648055,ds54,10000
19.23648055,ds54,10000
20.23648055,ds54,10000
21.23648055,ds54,10000
22.23648055,none,0
23.23648055,none,0
24.23648055,none,0
25.23648055,none,0
26.23648055,none,0
27.23648055,none,0
28.23648055,none,0
29.23648055,none,0
30.23648055,none,0
31.23648055,none,0
32.23648055,none,0
33.23648055,none,0
34.23648055,none,0
35.23648055,none,0
36.23648055,none,0
37.23648055,none,0
38.23648055,none,0
39.23648055,none,0
40.23648055,none,0
41.23648055,none,0
42.23648055,none,0
43.23648055,none,0
44.23648055,none,0
45.23648055,none,0
46.23648055,none,0
47.23648055,none,0
48.23648055,none,0
48.63913203,none,0
49.63913203,none,0
50.63913203,none,0
51.63913203,none,0
52.63913203,none,0
53.63913203,none,0
54.63913203,none,0
55.63913203,none,0
56.63913203,none,0
57.63913203,none,0
58.63913203,none,0
59.63913203,none,0
60.63913203,none,0
61.63913203,none,0
62.63913203,ds34,10000
63.63913203,ds34,10000
64.63913203,ds34,10000
65.63913203,ds34,10000
66.63913203,ds34,10000
67.63913203,ds34,10000
68.63913203,ds34,10000
69.63913203,ds34,10000
70.63913203,ds34,10000
71.63913203,ds34,10000
72.63913203,ds34,10000
73.63913203,ds34,10000
74.63913203,ds34,10000
75.63913203,ds34,10000
76.63913203,ds34,10000
77.63913203,ds34,10000
78.63913203,ds34,10000
79.63913203,ds34,10000
80.63913203,ds34,10000
81.63913203,none,0
82.63913203,none,0
83.63913203,none,0
84.63913203,none,0
85.63913203,none,0
86.63913203,none,0
87.63913203,none,0
88.63913203,none,0
89.63913203,none,0
90.63913203,none,0
91.63913203,none,0
92.63913203,none,0
93.63913203,none,0
94.63913203,none,0
95.63913203,none,0
96.63913203,none,0
97.63913203,none,0
98.63913203,none,0
99.63913203,none,0
100.1082326,none,0
101.1082326,none,0
102.1082326,none,0
103.1082326,ds24,10000
104.1082326,ds24,10000
105.1082326,ds24,10000
106.1082326,ds24,10000
107.1082326,wpsa,2675.37592
108.1082326,wpsa,2675.37592
109.1082326,wpsa,2675.37592
110.1082326,wpsa,2675.37592
111.1082326,wpsa,2675.37592
112.1082326,wpsa,2675.37592
113.1082326,wpsa,2675.37592
114.1082326,wpsa,2675.37592
115.1082326,wpsa,2675.37592
116.1082326,wpsa,2675.37592
117.1082326,wpsa,2675.37592
118.094466,wpsa,2675.37592
119.094466,wpsa,2675.37592
120.094466,wpsa,2675.37592
121.094466,wpsa,2675.37592
122.094466,wpsa,2675.37592
123.094466,wpsa,2675.37592
124.094466,wpsa,2675.37592
125.094466,wpsa,2675.37592
126.094466,wpsa,2675.37592
127.094466,wpsa,2675.37592
128.094466,wpsa,2675.37592
129.094466,wpsa,2675.37592
130.094466,wpsa,2675.37592
131.094466,wpsa,2675.37592
132.094466,wpsa,2675.37592
133.094466,wpsa,2675.37592
134.094466,wpsa,2675.37592
135.094466,wpsa,2675.37592
136.094466,wpsa,2675.37592
137.094466,wpsa,2675.37592
138.094466,wpsa,2675.37592
139.094466,wpsa,2675.37592
140.094466,wpsa,2675.37592
141.094466,wpsa,2675.37592
142.094466,wpsa,2675.37592
143.094466,wpsa,2675.37592
144.094466,wpsa,2675.37592
145.094466,wpsa,2675.37592
146.094466,wpsa,2675.37592
147.094466,wpsa,2675.37592
148.094466,wpsa,2675.37592
149.094466,wpsa,2675.37592
150.094466,wpsa,2675.37592
151.094466,wpsa,2675.37592
152.094466,wpsa,2675.37592
153.094466,wpsa,2675.37592
154.094466,wpsa,2675.37592
155.094466,wpsa,2675.37592
156.094466,wpsa,2675.37592
157.094466,wpsa,2675.37592
158.094466,wpsa,2675.37592
159.094466,wpsa,2675.37592
160.094466,wpsa,2675.37592
161.094466,wpsa,2675.37592
162.094466,wpsa,2675.37592
163.094466,wpsa,2675.37592
164.094466,wpsa,2675.37592
165.094466,wpsa,2675.37592
166.094466,wpsa,2675.37592
167.094466,wpsa,2675.37592
168.094466,wpsa,2675.37592
169.094466,wpsa,2675.37592
170.094466,wpsa,2675.37592
171.094466,wpsa,2675.37592
172.094466,wpsa,2675.37592
173.094466,wpsa,2675.37592
174.094466,wpsa,2675.37592
175.094466,wpsa,2675.37592
176.094466,wpsa,2675.37592
177.094466,wpsa,2675.37592
178.094466,wpsa,2675.37592
179.094466,wpsa,2675.37592
180.094466,wpsa,2675.37592
181.094466,wpsa,2675.37592
182.094466,wpsa,2675.37592
183.094466,wpsa,2675.37592
184.094466,wpsa,2675.37592
185.094466,wpsa,2675.37592
186.094466,wpsa,2675.37592
187.094466,wpsa,2675.37592
188.094466,wpsa,2675.37592
189.094466,wpsa,2675.37592
190.094466,wpsa,2675.37592
191.094466,wpsa,2675.37592
192.094466,wpsa,2675.37592
193.094466,wpsa,2675.37592
194.094466,wpsa,2675.37592
195.094466,wpsa,2675.37592
196.094466,wpsa,2675.37592
196.649466,wpsa,2675.37592
197.649466,wpsa,2675.37592
198.649466,wpsa,2675.37592
199.649466,wpsa,2675.37592
200.649466,wpsa,2675.37592
201.649466,wpsa,2675.37592
202.649466,wpsa,2675.37592
203.649466,wpsa,2675.37592
204.649466,wpsa,2675.37592
205.649466,wpsa,2675.37592
206.649466,wpsa,2675.37592
207.649466,wpsa,2675.37592
208.649466,wpsa,2675.37592
209.649466,wpsa,2675.37592
210.649466,wpsa,2675.37592
211.649466,wpsa,2675.37592
212.649466,wpsa,2675.37592
213.649466,wpsa,2675.37592
214.649466,wpsa,2675.37592
215.649466,wpsa,2675.37592
216.649466,wpsa,2675.37592
217.649466,wpsa,2675.37592
218.649466,wpsa,2675.37592
219.649466,wpsa,2675.37592
220.649466,wpsa,2675.37592
221.649466,wpsa,2675.37592
222.649466,wpsa,2675.37592
223.649466,wpsa,2675.37592
224.649466,wpsa,2675.37592
225.649466,wpsa,2675.37592
226.649466,wpsa,2675.37592
227.649466,wpsa,2675.37592
228.649466,wpsa,2675.37592
229.649466,wpsa,2675.37592
230.649466,wpsa,2675.37592
231.649466,wpsa,2675.37592
232.649466,wpsa,2675.37592
233.649466,wpsa,2675.37592
234.649466,wpsa,2675.37592
235.649466,wpsa,2675.37592
236.649466,wpsa,2675.37592
237.649466,wpsa,2675.37592
238.649466,wpsa,2675.37592
239.649466,wpsa,2675.37592
240.649466,wpsa,2675.37592
241.649466,wpsa,2675.37592
242.649466,wpsa,2675.37592
243.649466,wpsa,2675.37592
244.649466,wpsa,2675.37592
245.649466,wpsa,2675.37592
246.649466,wpsa,2675.37592
247.649466,wpsa,2675.37592
248.649466,wpsa,2675.37592
249.649466,wpsa,2675.37592
250.649466,wpsa,2675.37592
251.649466,wpsa,2675.37592
252.649466,wpsa,2675.37592
253.649466,wpsa,2675.37592
254.649466,wpsa,2675.37592
255.649466,wpsa,2675.37592
256.649466,wpsa,2675.37592
257.649466,wpsa,2675.37592
258.649466,wpsa,2675.37592
259.649466,wpsa,2675.37592
260.649466,wpsa,2675.37592
261.649466,wpsa,2675.37592
262.649466,wpsa,2675.37592
263.649466,wpsa,2675.37592
264.649466,wpsa,2675.37592
265.649466,wpsa,2675.37592
266.649466,wpsa,2675.37592
267.649466,wpsa,2675.37592
268.649466,wpsa,2675.37592
269.649466,wpsa,2675.37592
270.649466,wpsa,2675.37592
271.649466,wpsa,2675.37592
272.649466,wpsa,2675.37592
273.649466,wpsa,2675.37592
274.649466,wpsa,2675.37592
275.649466,wpsa,2675.37592
276.649466,wpsa,2675.37592
277.649466,wpsa,2675.37592
278.649466,wpsa,2675.37592
279.649466,wpsa,2675.37592
280.649466,wpsa,2675.37592
281.649466,wpsa,2675.37592
282.649466,wpsa,2675.37592
283.649466,wpsa,2675.37592
284.6427943,wpsa,2675.37592
285.6427943,wpsa,2675.37592
286.6427943,wpsa,2675.37592
287.6427943,wpsa,2675.37592
288.6427943,wpsa,2675.37592
289.6427943,wpsa,2675.37592
